date,spendamt,nb_transactions
2021-09-25T00:00:00.000-05:00,45945.68826835406,3144.785476696715
2021-10-02T00:00:00.000-05:00,35953.111208150614,2597.9787557149475
2021-10-09T00:00:00.000-05:00,43790.272100088085,3039.070141443138
2021-10-16T00:00:00.000-05:00,39369.0329174059,3306.609383085165
2021-10-23T00:00:00.000-05:00,51449.02987421066,3547.441383326248
2021-10-30T00:00:00.000-05:00,52417.64473400852,3132.3022538625887
2021-11-06T00:00:00.000-05:00,43972.96777710185,4047.001232319728
2021-11-13T00:00:00.000-06:00,60201.318868905175,3492.8019438666365
2021-11-20T00:00:00.000-06:00,51844.590605570476,3537.942013324236
2021-11-27T00:00:00.000-06:00,61783.58263421098,4248.663447961067
2021-12-04T00:00:00.000-06:00,37600.949379978425,3799.0336616835175
2021-12-11T00:00:00.000-06:00,61407.29219098188,4361.0507990396145
2021-12-18T00:00:00.000-06:00,45344.004891412216,3827.310476208623
2021-12-25T00:00:00.000-06:00,49798.925003486416,3282.495107397439
2022-01-01T00:00:00.000-06:00,58507.25186592195,3175.6869318041354
2022-01-08T00:00:00.000-06:00,43278.45316791369,2782.9200064596566
2022-01-15T00:00:00.000-06:00,50319.21031260997,3550.059786037119
2022-01-22T00:00:00.000-06:00,44062.130340803764,2766.9142070046555
2022-01-29T00:00:00.000-06:00,45042.484658875845,2930.706439332705
2022-02-05T00:00:00.000-06:00,44556.96815194686,3486.3506213717865
2022-02-12T00:00:00.000-06:00,52764.75828921597,3290.44041025857
2022-02-19T00:00:00.000-06:00,67800.4671856229,3303.5056238601514
2022-02-26T00:00:00.000-06:00,54102.44257399717,3523.914961649605
2022-03-05T00:00:00.000-06:00,60228.585533091726,3909.1767246132385
2022-03-12T00:00:00.000-06:00,63688.82146480848,3898.539492192394
2022-03-19T00:00:00.000-05:00,73780.57078433366,4319.297003079604
2022-03-26T00:00:00.000-05:00,82679.08094499078,5367.312122545041
2022-04-02T00:00:00.000-05:00,60048.155553481214,4507.324169325131
2022-04-09T00:00:00.000-05:00,90035.85544330289,4669.006636613747
2022-04-16T00:00:00.000-05:00,70398.33182009893,4859.3271926270145
2022-04-23T00:00:00.000-05:00,88540.56949235922,5627.940709779144
2022-04-30T00:00:00.000-05:00,85382.67001047081,4938.752027142563
2022-05-07T00:00:00.000-05:00,98393.45834043877,5685.361677256022
2022-05-14T00:00:00.000-05:00,97967.55387080074,5596.838906871196
2022-05-21T00:00:00.000-05:00,115932.03098031433,5405.612228157065
2022-05-28T00:00:00.000-05:00,134291.78583072318,7608.840802587194
2022-06-04T00:00:00.000-05:00,94697.79052332115,5324.244769560527
2022-06-11T00:00:00.000-05:00,89411.28622469294,5297.515168090915
2022-06-18T00:00:00.000-05:00,94707.74761021923,5008.312592663916
2022-06-25T00:00:00.000-05:00,91543.10921280057,4299.803721654162
2022-07-02T00:00:00.000-05:00,70588.44074622798,4155.0609084809075
2022-07-09T00:00:00.000-05:00,88015.01484770488,4606.274621542134
2022-07-16T00:00:00.000-05:00,70963.8984864139,4646.947376004035
2022-07-23T00:00:00.000-05:00,83655.40630631342,5125.678152060149
2022-07-30T00:00:00.000-05:00,87894.84339292007,5292.440732784706
2022-08-06T00:00:00.000-05:00,77817.7760450016,5164.4869026152755
2022-08-13T00:00:00.000-05:00,91756.73107192558,5598.864136308814
2022-08-20T00:00:00.000-05:00,87512.45295293043,5273.440405501795
2022-08-27T00:00:00.000-05:00,102618.24791926704,6144.63132005483
2022-09-03T00:00:00.000-05:00,91101.02215454401,5423.241434454198
2022-09-10T00:00:00.000-05:00,92342.72510357611,5661.192193289806
2022-09-17T00:00:00.000-05:00,99067.00209567501,6668.392235365007
2022-09-24T00:00:00.000-05:00,107134.83044945632,6714.4133076318885
2022-10-01T00:00:00.000-05:00,81796.01420993573,5969.639153664355
2022-10-08T00:00:00.000-05:00,79734.76606249498,5637.610918546577
2022-10-15T00:00:00.000-05:00,93463.19652984323,6150.38827477129
2022-10-22T00:00:00.000-05:00,128989.94542439238,7553.271564173818
2022-10-29T00:00:00.000-05:00,99672.40409927434,6723.3088762992475
2022-11-05T00:00:00.000-05:00,93612.59792045812,7321.457397368972
2022-11-12T00:00:00.000-06:00,129863.196728799,7851.917280033604
2022-11-19T00:00:00.000-06:00,113063.16234959892,7915.795901984136
2022-11-26T00:00:00.000-06:00,122350.61308724983,8059.509141630371
2022-12-03T00:00:00.000-06:00,120173.2095893641,8265.824110499103
2022-12-10T00:00:00.000-06:00,140091.62959101354,7576.367011644384
2022-12-17T00:00:00.000-06:00,107692.15651309973,5845.647381273725
2022-12-24T00:00:00.000-06:00,75768.98991940243,4680.158313045862
2022-12-31T00:00:00.000-06:00,47046.58613445575,3112.2025706700824
2023-01-07T00:00:00.000-06:00,52779.298175937125,3058.491900567663
2023-01-14T00:00:00.000-06:00,46001.16860460094,2032.9269266539
2023-01-21T00:00:00.000-06:00,6274.35623683174,541.6816976002411
