endofweek,spendamountusd,countamountusd
2020-03-14T00:00:00.000-05:00,19598355.59940114,165632.369209764
2020-03-21T00:00:00.000-05:00,20210273.96920856,165622.95011045402
2020-03-28T00:00:00.000-05:00,19132242.595067166,157001.31449208816
2020-04-04T00:00:00.000-05:00,16790601.45720596,140721.2626001399
2020-04-11T00:00:00.000-05:00,17349748.533429943,136431.36729042605
2020-04-18T00:00:00.000-05:00,18157724.536341917,139897.5239522491
2020-04-25T00:00:00.000-05:00,17946276.02341374,140835.18258215557
2020-05-02T00:00:00.000-05:00,16811987.089113064,135526.12793899328
2020-05-09T00:00:00.000-05:00,17060652.291058328,137443.29529135104
2020-05-16T00:00:00.000-05:00,18561406.436666176,147794.12404433562
2020-05-23T00:00:00.000-05:00,19323142.082621135,151587.59693290337
2020-05-30T00:00:00.000-05:00,18394334.3494957,147321.94695972418
2020-06-06T00:00:00.000-05:00,17286275.770742334,139930.05224634585
2020-06-13T00:00:00.000-05:00,18819347.256325524,148199.70331904822
2020-06-20T00:00:00.000-05:00,19648025.496973883,152011.4374183647
2020-06-27T00:00:00.000-05:00,18705329.89420987,148342.76212348838
2020-07-04T00:00:00.000-05:00,17694009.856795795,143166.5112768411
2020-07-11T00:00:00.000-05:00,19000747.19062929,149128.171681647
2020-07-18T00:00:00.000-05:00,20674813.38713789,157501.8984692566
2020-07-25T00:00:00.000-05:00,21258103.245317765,162569.3576767051
2020-08-01T00:00:00.000-05:00,20258187.445232235,160744.38108029796
2020-08-08T00:00:00.000-05:00,20730921.269779123,166033.2814658935
2020-08-15T00:00:00.000-05:00,23718522.744764477,182764.63715146517
2020-08-22T00:00:00.000-05:00,25098708.810313843,192153.8955714273
2020-08-29T00:00:00.000-05:00,24325157.012381338,190567.67615589095
2020-09-05T00:00:00.000-05:00,23508633.734430082,186681.1793135816
2020-09-12T00:00:00.000-05:00,25531788.734159745,200822.01008688513
2020-09-19T00:00:00.000-05:00,27453072.88677434,211669.4571396869
2020-09-26T00:00:00.000-05:00,26954037.117860675,210798.98427008226
2020-10-03T00:00:00.000-05:00,25194012.82875871,204000.9899990512
2020-10-10T00:00:00.000-05:00,25859856.577131838,208039.21283453173
2020-10-17T00:00:00.000-05:00,29380625.32123565,227944.3632123489
2020-10-24T00:00:00.000-05:00,30178092.262421947,232590.30373186799
2020-10-31T00:00:00.000-05:00,30943012.582832146,237250.8141624555
2020-11-07T00:00:00.000-06:00,30109354.778918687,237296.5440951744
2020-11-14T00:00:00.000-06:00,34787753.66708407,261339.7750890273
2020-11-21T00:00:00.000-06:00,38252082.7457671,278078.05440076464
2020-11-28T00:00:00.000-06:00,41370117.500011966,295080.7407930539
2020-12-05T00:00:00.000-06:00,40156769.819633275,290352.70717583876
2020-12-12T00:00:00.000-06:00,37756081.266572244,280073.46061770676
2020-12-19T00:00:00.000-06:00,29929159.56148484,230161.9655148411
2020-12-26T00:00:00.000-06:00,25693123.522707827,199843.25526537
2021-01-02T00:00:00.000-06:00,21670051.468369305,175279.72091220366
2021-01-09T00:00:00.000-06:00,19209868.062095575,157932.7383461135
2021-01-16T00:00:00.000-06:00,11028388.980257897,95811.01807057712
2021-01-23T00:00:00.000-06:00,4217234.216860085,39071.9345445221
